url	first_seen	portal	title	company	status	location
https://job-boards.greenhouse.io/vercel/jobs/5735407004	2026-07-13	greenhouse-api	Senior Product Designer	Vercel	added	Remote - United States	
https://job-boards.greenhouse.io/later/jobs/8372391002	2026-07-13	greenhouse-api	Senior UX Designer	Later	added	Remote	
https://jobs.ashbyhq.com/synthesia/4721d2c3-3d94-45d3-b9f7-ea5e1f549ce2	2026-07-13	ashby-api	Product Designer, AI-Native Products (Senior/Staff-Level)	Synthesia	added	Europe · London · United Kingdom	
https://jobs.ashbyhq.com/synthesia/eb06b813-b691-45fa-884e-abc06c674390	2026-07-13	ashby-api	Product Designer, Growth (Senior/Staff-Level)	Synthesia	added	Europe	
https://jobs.ashbyhq.com/faculty/c119810d-e6f2-405e-a51f-9737529b5083	2026-07-13	ashby-api	Senior Product Designer - Defence	Faculty	added	UK - Remote	
https://jobs.ashbyhq.com/perplexity/3d277236-2cf3-4a59-b435-71540cc05712	2026-07-13	ashby-api	Design Systems Lead	Perplexity	added	San Francisco · Remote (United States) · United States · New York City	
https://job-boards.greenhouse.io/hightouch/jobs/6103070004	2026-07-13	greenhouse-api	Senior Product Designer, AI Creative	Hightouch	added	Remote, United States	
https://solid.jobs/o/uvsvlxgi/career-ops	2026-07-13	solidjobs-api	Senior UX Designer	CYCLAD	added	Poland (Remote)	
https://job-boards.greenhouse.io/remotecom/jobs/7660139003	2026-07-13	greenhouse-api	Senior Staff Product Designer	Remote.com	added	Remote-AMER	
https://job-boards.greenhouse.io/remotecom/jobs/7500346003	2026-07-13	greenhouse-api	Staff Product Designer, Pay Ecosystem	Remote.com	added	Remote-EMEA	
https://jobs.ashbyhq.com/linear/ba8a41d2-4198-481a-a7f4-e09c5364ff7f	2026-07-13	ashby-api	Principal Product Designer	Linear	added	Europe	
https://job-boards.greenhouse.io/gitlab/jobs/8464608002	2026-07-13	greenhouse-api	Senior Product Designer, AI	GitLab	added	Remote, Canada; Remote, US	
https://job-boards.greenhouse.io/gitlab/jobs/8475077002	2026-07-13	greenhouse-api	Staff Product Designer, Knowledge Graph	GitLab	added	Remote, Canada; Remote, Ireland; Remote, United Kingdom; Remote, US	
https://job-boards.eu.greenhouse.io/polyai/jobs/4869448101	2026-07-13	greenhouse-api	Staff Product Designer	PolyAI	added	United Kingdom	
https://job-boards.greenhouse.io/intercom/jobs/7862050	2026-07-13	greenhouse-api	Senior Product Designer	Intercom	added	Dublin, Ireland	
https://job-boards.greenhouse.io/intercom/jobs/7862038	2026-07-13	greenhouse-api	Staff/Principal Product Designer	Intercom	added	Dublin, Ireland	
https://jobs.ashbyhq.com/n8n/fe05c209-8069-4a88-aeba-8da23488cd30	2026-07-13	ashby-api	Senior/Staff Product Designer	n8n	added	Germany · Bosnia · Norway · Estonia · Slovenia · Italy · Netherlands · Hungary · Portugal · France · Poland · Serbia · Austria · Finland · Montenegro · Slovakia · Ireland · Denmark · Belgium · Czech Republic · United Kingdom · Croatia · Spain · Greece · Ukraine · Sweden	
https://jobs.ashbyhq.com/AlephAlpha/380a145c-a907-4c50-945b-6dbd5f2b6de6	2026-07-13	ashby-api	Senior UX Strategist / Service Designer (f/m/d)	Aleph Alpha	added	Heidelberg · Berlin · Germany	
https://careers.hellofresh.com/global/en/job/8030038?gh_jid=8030038	2026-07-13	greenhouse-api	Director UX Design	HelloFresh	added	Berlin, Berlin, Germany	
https://careers.hellofresh.com/global/en/job/7610095?gh_jid=7610095	2026-07-13	greenhouse-api	Senior UX Designer, Consumer UX	HelloFresh	added	Warszawa, Masovian Voivodeship, Poland	
https://sumup.com/careers/positions/8426778002?gh_jid=8426778002	2026-07-13	greenhouse-api	iOS Engineer - Design System	SumUp	added	Berlin, Germany; Cologne, Germany; Paris, Paris, France	
https://sumup.com/careers/positions/8427124002?gh_jid=8427124002	2026-07-13	greenhouse-api	Senior Product Designer - Consumer	SumUp	added	London, England, United Kingdom	
https://jobs.ashbyhq.com/faculty/587ee35e-f269-4ef7-b121-941ca2b2403a	2026-07-13	ashby-api	Staff Product Designer	Faculty	added	UK - London	
https://jobs.ashbyhq.com/faculty/b561a153-b935-4703-a0e1-40b55a8bf236	2026-07-13	ashby-api	Senior Product Designer - Energy Transition & Environment	Faculty	added	UK - London	
https://jobs.ashbyhq.com/lovable/5635b88f-a361-4f5f-8209-ca343a003947	2026-07-13	ashby-api	Staff / Principal Product Designer	Lovable	added	Stockholm · London · United Kingdom	
https://jobs.lever.co/palantir/2d8b7eaa-5c08-44ef-a0f0-5a96cee2794d	2026-07-13	lever-api	Product Designer	Palantir	added	London, United Kingdom	7e40a3a8022ec433
https://weworkremotely.com/remote-jobs/hyphen-connect-limited-lead-product-designer-crypto-exchange	2026-07-13	weworkremotely-api	Lead Product Designer (Crypto Exchange)	Hyphen Connect Limited	added	Anywhere in the World	
https://weworkremotely.com/remote-jobs/hospitable-staff-ui-ux-product-designer-usa-emea-remote-1	2026-07-13	weworkremotely-api	Staff UI/UX Product Designer (USA/EMEA - Remote)	Hospitable	added	Anywhere in the World	
https://weworkremotely.com/remote-jobs/browserstack-manager-product-design	2026-07-13	weworkremotely-api	Manager - Product Design	BrowserStack	added	Anywhere in the World	
https://careers.hellofresh.com/global/en/job/8066781?gh_jid=8066781	2026-07-17	greenhouse-api	Staff Product Designer, Consumer UX	HelloFresh	added	Berlin, Berlin, Germany	
https://weworkremotely.com/remote-jobs/jobgether-senior-mobile-ux-designer	2026-07-17	weworkremotely-api	Senior Mobile UX Designer	Jobgether	added	Anywhere in the World	
https://4dayweek.io/job/product-designer-at-climate-policy-radar-fda9887d	2026-07-17	4dayweek-api	Product Designer	Climate Policy Radar	added	London, United Kingdom	
https://jobs.smartrecruiters.com/NECSWS/744000138151704	2026-07-17	echojobs-api	Interaction Designer	NEC Software Solutions	added	Remote	
https://jobs.smartrecruiters.com/softwaremind/744000137682439	2026-07-17	echojobs-api	Product Designer	Softwaremind	added	San Jose, CR, Remote	
https://mojomortgages.pinpointhq.com/en/postings/987c53db-cbc8-4ae4-a0b6-1e84f46c95c1	2026-07-17	echojobs-api	Product Designer	Mojo Mortgages	added	London, UK, Remote	
https://mojomortgages.pinpointhq.com/en/postings/3a097050-f43a-4ba3-a1f3-de63f6b2ebd2	2026-07-17	echojobs-api	Lead Product Designer	Mojo Mortgages	added	London, UK, Remote	
https://weworkremotely.com/remote-jobs/garden3d-head-of-design	2026-07-20	weworkremotely-api	Head of Design	garden3d	added	Anywhere in the World	
https://pvh.wd1.myworkdayjobs.com/pvh_careers/job/Senior-Designer--Brand---Concept_R60709	2026-07-20	workday-full	Senior Designer, Brand & Concept	pvh	added		
https://jobs.ashbyhq.com/alan/1bf22834-f85d-4581-95a8-0a0278ba9013	2026-07-20	ashby-full	Product Designer	alan	added	Paris, France; Bordeaux, France; Marseille, France; Lyon, France; Nantes, France; Brussels, Belgium; Barcelona, Spain; Madrid, Spain; Amsterdam, Netherlands;	
https://job-boards.greenhouse.io/kettle/jobs/8639414002	2026-07-20	greenhouse-full	Senior Product Designer, Design Systems	kettle	added	Remote	
https://job-boards.greenhouse.io/launchdarkly/jobs/7807440003	2026-07-20	greenhouse-full	Director, UX	launchdarkly	added	Remote - US	
https://jobs.ashbyhq.com/moss/e7d57c83-fcc4-43cf-b6cb-e6672460892f	2026-07-20	ashby-full	Senior Product Designer	moss	added	Berlin · London · United Kingdom · Amsterdam · Netherlands · Munich · Germany	
https://app.careerpuck.com/job-board/udemy/job/6117543004?gh_jid=6117543004	2026-07-20	greenhouse-full	Senior Manager, Product Design	udemy	added	Dublin, Ireland	
https://job-boards.eu.greenhouse.io/raisin/jobs/4930460101	2026-07-20	greenhouse-full	Senior Product Designer (m/f/d)	raisin	added	Berlin, Berlin, Germany	
https://job-boards.greenhouse.io/capco/jobs/8071115	2026-07-20	greenhouse-full	Lead Product Designer (UI & Design Systems) - Product & Experience	capco	added	UK - London	
https://ttiemea.wd3.myworkdayjobs.com/tti/job/Droitwich-spa-UK/Mechanical-Design-Engineer--NPD-_JR4697	2026-07-20	workday-full	Product Design Engineer (NPD)	ttiemea	added	Droitwich spa, UK	
https://salesforce.wd12.myworkdayjobs.com/external_career_site/job/California---Remote/Principal-Product-Designer---PMTS_JR352339	2026-07-20	workday-full	Principal Product Designer - PMTS	salesforce	added	California - Remote	
https://boards.greenhouse.io/mindgrub/jobs/7806552003?gh_jid=7806552003	2026-07-20	echojobs-api	Product Designer	Mindgrub	added	Baltimore, MD, Remote	
https://careers.hellofresh.com/global/en/job/8028091?gh_jid=8028091	2026-07-20	greenhouse-api	Senior UX Designer, Consumer UX	HelloFresh	added	Warszawa, Masovian Voivodeship, Poland	
https://job-boards.greenhouse.io/celonis/jobs/7799736003?gh_jid=7799736003	2026-07-24	greenhouse-api	Senior Design Engineer, Design System	Celonis	added	Madrid, Spain	
https://job-boards.greenhouse.io/celonis/jobs/7799733003?gh_jid=7799733003	2026-07-24	greenhouse-api	Senior Design Engineer, Design System	Celonis	added	Munich, Germany	
https://jobs.ashbyhq.com/supabase/97fe8e68-28c5-42db-a763-60113f0b31fd	2026-07-24	ashby-api	Product Designer	Supabase	added	Remote	
https://nofluffjobs.com/pl/job/senior-product-designer-fluxon-apps-llc-remote-1	2026-07-24	nofluffjobs-api	Senior Product Designer	Fluxon Apps LLC	added	Remote	
